source_id,table_name,column_name,description,data_type,unit,allowed_values,denominator,reference_date,geographic_level,is_identifier,is_target_component,is_eligible_feature,missing_value_meaning,quality_notes
baseline_lge_master,raw_results_long,pr_flagged_ballots,PR flagged ballots,integer,count,nonnegative,not applicable,election event,PR ballot,no,no,yes if historical,missing not reported,Definition required
baseline_lge_master,raw_results_long,has_pr_ballot,Whether PR ballot exists,boolean,flag,True;False,not applicable,election event,reporting unit,no,no,yes,missing unknown,Check by year/geography
baseline_lge_master,raw_results_long,pr_turnout_pct,PR turnout percentage,number,percent,0-100,PR registered voters,election event,PR ballot,no,yes,no if same-event,missing not reported,Target component
baseline_lge_master,raw_results_long,pr_spoilt_rate_pct,PR spoilt rate percentage,number,percent,0-100,PR votes cast,election event,PR ballot,no,yes only historically,yes when lagged,missing not reported,Target component
baseline_lge_master,raw_results_long,party_vote_share_pct,Party share of valid votes,number,percent,0-100,party_valid_votes_sum,election event,party,no,no,no for participation model,missing party/denominator,Party analysis only
voters_2026_report,province_summary,Provinces,Province label,string,name,South African provinces,not applicable,2026,province,no,no,yes after tidy,missing row not present,Report table
voters_2026_report,province_summary,Reg_Voters,Registered voters by province,integer,voters,nonnegative,not applicable,2026,province,no,yes for registration target,yes only as target/context,missing not reported,Validate against IEC source
voters_2026_report,age_gender_summary,Age_group,Age group label,string,age band,18 - 19;20 - 29;30 - 39;40 - 49;50 - 59;60 - 69;70 - 79;80+,age-group registered voters,2026,South Africa or Mpumalanga summary,no,yes for youth gap,yes only as aggregate context,missing not reported,Confirm table scope
voters_2026_report,age_gender_summary,Male,Female,Registered voters by age/gender,integer,voters,age group registered voters,2026,South Africa or Mpumalanga summary,no,yes for youth gap,yes only as aggregate context,missing not reported,Confirm sex coding and totals
voters_2026_report,municipality_summary,Municipality,Municipality label and code as reported,string,name/code,,not applicable,2026,municipality,yes,no,yes after crosswalk,missing row not present,Spelling/legacy-code review required
voters_2026_report,municipality_summary,Reg_Voters,Registered voters by municipality,integer,voters,nonnegative,not applicable,2026,municipality,no,yes,yes as 2026 feature/target depending question,missing not reported,Join only through reviewed crosswalk
census_2022_f18_f19,household,QID,Household record identifier,string,identifier,,not applicable,2022,household,yes,no,no,missing record,Do not expose in dashboard
census_2022_f18_f19,household,Province,Province code,integer,code,,not applicable,2022,household,no,no,yes after aggregation,missing geography,Decode with codebook
census_2022_f18_f19,household,District,District code/string,string,code,,not applicable,2022,district,no,no,yes after aggregation,missing geography,Codebook required
census_2022_f18_f19,household,Municipality,Municipality code/string,string,code,,not applicable,2022,municipality,no,no,yes after aggregation,missing geography,Primary join candidate pending crosswalk
census_2022_f18_f19,household,Geo_type,Geographic type code,integer,code,,not applicable,2022,household/no geography, no,no,no,missing type,Decode before use
census_2022_f18_f19,household,DERH_HSIZE,Household size code/measure,number,code or persons,codebook required,household size universe,2022,household,no,no,no until decoded,missing not reported,Do not treat coded values as numeric magnitude without codebook
census_2022_f18_f19,household,DERH_HHSEX,Household head sex code,number,code,codebook required,households,2022,household,no,no,no until decoded,missing not reported,Categorical
census_2022_f18_f19,household,DERH_HHPOP,Household population code/measure,number,code or persons,codebook required,household population universe,2022,household,no,no,no until decoded,missing not reported,Confirm definition
census_2022_f18_f19,household,DERH_HHAGE,Household head age,number,years or code,codebook required,household heads,2022,household,no,no,no until decoded,missing not reported,Confirm units
census_2022_f18_f19,household,H01_QUARTERS,Household quarters category,number,code,codebook required,households,2022,household,no,no,no until decoded,missing not reported,Categorical code
census_2022_f18_f19,household,H02_MAINDWELLING,Main dwelling category,number,code,codebook required,households,2022,household,no,no,no until decoded,missing not reported,Categorical code
census_2022_f18_f19,household,H05_WATERPIPED,Water access category,number,code,codebook required,households,2022,household,no,no,no until decoded,missing not reported,Categorical code
census_2022_f18_f19,household,H09_ENERGY_COOKING,Cooking energy category,number,code,codebook required,households,2022,household,no,no,no until decoded,missing not reported,Categorical code
census_2022_f18_f19,household,H10_ENERGY_LIGHTING,Lighting energy category,number,code,codebook required,households,2022,household,no,no,no until decoded,missing not reported,Categorical code
census_2022_f18_f19,household,H13_INTERNET_ACCESS,Internet access category,number,code,codebook required,households,2022,households, no,no,no until decoded,missing not reported,Potential digital-access proxy only after codebook
census_2022_f18_f19,household,HH_WGT,Household analysis weight,number,weight,positive,household sample to target population,2022,household,no,no,no,missing weight,Required for municipality estimates
