"# Municipality code crosswalk across boundary/demarcation versions, ALL PROVINCES (national), 2000-2026."
# Sources: IEC Atlas GeoServer (atlas.elections.org.za) per-election-year municipality layers (2000/2006/2011/2016/2021); MDB_Local_Municipalities_2026.csv (current).
"# Raw / unfiltered by design -- province-level filtering (e.g. to Mpumalanga) to be done as a later cleaning step, not here."
municipality_code,municipality_name,province,election_year,boundary_version
FS183,Tswelopele [Hoopstad],Free State,2000,LGE2000_boundary
FS184,Matjhabeng [Welkom],Free State,2000,LGE2000_boundary
FS185,Nala [Bothaville],Free State,2000,LGE2000_boundary
FS191,Setsoto [Senekal],Free State,2000,LGE2000_boundary
FS192,Dihlabeng [Bethlehem],Free State,2000,LGE2000_boundary
FS193,Nketoana [Reitz],Free State,2000,LGE2000_boundary
FS194,Maluti a Phofung [Qwa-Qwa],Free State,2000,LGE2000_boundary
FS195,Phumelela [Vrede],Free State,2000,LGE2000_boundary
FS201,Moqhaka [Kroonstad],Free State,2000,LGE2000_boundary
FS203,Ngwathe [Parys],Free State,2000,LGE2000_boundary
FS204,Metsimaholo [Sasolburg],Free State,2000,LGE2000_boundary
FS205,Mafube [Frankfort],Free State,2000,LGE2000_boundary
FSDMA19,Golden Gate Highlands NP,Free State,2000,LGE2000_boundary
,GT02b2 - Kungwini [Bronkhorstspruit],Gauteng,2000,LGE2000_boundary
,GT02b1 - Nokeng tsa Taemane [Cullinan],Gauteng,2000,LGE2000_boundary
EKU,Ekurhuleni [East Rand],Gauteng,2000,LGE2000_boundary
GT421,Emfuleni [Vereeniging],Gauteng,2000,LGE2000_boundary
GT422,Midvaal [Meyerton],Gauteng,2000,LGE2000_boundary
GT423,Lesedi [Heidelberg],Gauteng,2000,LGE2000_boundary
GT481,Mogale City [Krugersdorp],Gauteng,2000,LGE2000_boundary
GT482,Randfontein [Randfontein],Gauteng,2000,LGE2000_boundary
GT483,Westonaria [Westonaria],Gauteng,2000,LGE2000_boundary
GTDMA48,West Rand [Sterkfontein DMA],Gauteng,2000,LGE2000_boundary
JHB,City of Johannesburg [Johannesburg],Gauteng,2000,LGE2000_boundary
TSH,Tshwane Metro [Pretoria],Gauteng,2000,LGE2000_boundary
,KZ5a4 - Greater Kokstad [Kokstad],Kwazulu Natal,2000,LGE2000_boundary
,KZ5a6 - Umzimkhulu [Umzimkulu],Kwazulu Natal,2000,LGE2000_boundary
,KZ5a1 - Ingwe [Creighton],Kwazulu Natal,2000,LGE2000_boundary
,KZ5a2 - Kwa Sani [Underberg],Kwazulu Natal,2000,LGE2000_boundary
,KZ5a5 - Ubuhlebezwe [Ixopo],Kwazulu Natal,2000,LGE2000_boundary
ETH,eThekwini [Durban Metro],Kwazulu Natal,2000,LGE2000_boundary
KZ211,Vulamehlo [Dududu],Kwazulu Natal,2000,LGE2000_boundary
KZ212,Umdoni [Scottburgh],Kwazulu Natal,2000,LGE2000_boundary
KZ213,Umzumbe [Umzumbe],Kwazulu Natal,2000,LGE2000_boundary
KZ214,UMuziwabantu [Harding],Kwazulu Natal,2000,LGE2000_boundary
KZ215,Ezinqoleni [Izinqolweni],Kwazulu Natal,2000,LGE2000_boundary
KZ216,Hibiscus Coast [Port Shepstone],Kwazulu Natal,2000,LGE2000_boundary
KZ221,uMshwathi [Wartburg],Kwazulu Natal,2000,LGE2000_boundary
KZ222,uMngeni [Howick],Kwazulu Natal,2000,LGE2000_boundary
KZ223,Mooi Mpofana [Mooirivier],Kwazulu Natal,2000,LGE2000_boundary
KZ224,Impendle [Impendle],Kwazulu Natal,2000,LGE2000_boundary
KZ225,Msunduzi [Pietermaritzburg],Kwazulu Natal,2000,LGE2000_boundary
KZ226,Mkhambathini [Camperdown],Kwazulu Natal,2000,LGE2000_boundary
KZ227,Richmond [Richmond],Kwazulu Natal,2000,LGE2000_boundary
KZ232,Emnambithi/Ladysmith [Ladysmith],Kwazulu Natal,2000,LGE2000_boundary
KZ233,Indaka [Waaihoek],Kwazulu Natal,2000,LGE2000_boundary
KZ234,Umtshezi [Estcourt],Kwazulu Natal,2000,LGE2000_boundary
KZ235,Okhahlamba [Bergville],Kwazulu Natal,2000,LGE2000_boundary
KZ236,Imbabazane [Loskop],Kwazulu Natal,2000,LGE2000_boundary
KZ241,Endumeni [Dundee],Kwazulu Natal,2000,LGE2000_boundary
KZ242,Nqutu [Nqutu],Kwazulu Natal,2000,LGE2000_boundary
KZ244,Msinga [Pomeroy],Kwazulu Natal,2000,LGE2000_boundary
KZ245,Umvoti [Greytown],Kwazulu Natal,2000,LGE2000_boundary
KZ252,NeWESTERN CAPEastle [Newcastle],Kwazulu Natal,2000,LGE2000_boundary
KZ253,Utrecht [Utrecht],Kwazulu Natal,2000,LGE2000_boundary
KZ254,Dannhauser [Durnacol],Kwazulu Natal,2000,LGE2000_boundary
KZ261,eDumbe [Paulpietersburg],Kwazulu Natal,2000,LGE2000_boundary
KZ262,UPhongolo [Pongola],Kwazulu Natal,2000,LGE2000_boundary
KZ263,Abaqulusi [Vryheid],Kwazulu Natal,2000,LGE2000_boundary
KZ265,Nongoma [Nongoma],Kwazulu Natal,2000,LGE2000_boundary
KZ266,Ulundi [Ulundi],Kwazulu Natal,2000,LGE2000_boundary
KZ271,Umhlabuyalingana [Emangusi],Kwazulu Natal,2000,LGE2000_boundary
KZ272,Jozini [Mkuze],Kwazulu Natal,2000,LGE2000_boundary
KZ273,The Big 5 False Bay [Hluhluwe],Kwazulu Natal,2000,LGE2000_boundary
KZ274,Hlabisa [Somkele],Kwazulu Natal,2000,LGE2000_boundary
KZ275,Mtubatuba [Mtubatuba],Kwazulu Natal,2000,LGE2000_boundary
KZ281,Mbonambi [KwaMbonambi],Kwazulu Natal,2000,LGE2000_boundary
KZ282,uMhlathuze [Richards Bay],Kwazulu Natal,2000,LGE2000_boundary
KZ283,Ntambana [Ntambana],Kwazulu Natal,2000,LGE2000_boundary
KZ284,uMlalazi [Eshowe],Kwazulu Natal,2000,LGE2000_boundary
KZ285,Mthonjaneni [Melmoth],Kwazulu Natal,2000,LGE2000_boundary
KZ286,Nkandla [Nkandla],Kwazulu Natal,2000,LGE2000_boundary
KZ291,eNdondakusuka [Mandeni],Kwazulu Natal,2000,LGE2000_boundary
KZ292,KwaDukuza [Stanger],Kwazulu Natal,2000,LGE2000_boundary
KZ293,Ndwedwe [Ndwedwe],Kwazulu Natal,2000,LGE2000_boundary
KZ294,Maphumulo [Maphumulo],Kwazulu Natal,2000,LGE2000_boundary
KZDMA22,Highmoor/Kamberg Park,Kwazulu Natal,2000,LGE2000_boundary
KZDMA23,Gaints Castle Game Reserve,Kwazulu Natal,2000,LGE2000_boundary
KZDMA27,St Lucia Park,Kwazulu Natal,2000,LGE2000_boundary
KZDMA43,Mkhomazi Wilderness area,Kwazulu Natal,2000,LGE2000_boundary
MP301,Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2000,LGE2000_boundary
MP302,Msukaligwa [Ermelo],Mpumalanga,2000,LGE2000_boundary
MP303,Mkhondo [Piet Retief],Mpumalanga,2000,LGE2000_boundary
MP304,Pixley Ka Seme [Volksrust],Mpumalanga,2000,LGE2000_boundary
MP305,Lekwa [Standerton],Mpumalanga,2000,LGE2000_boundary
MP306,Dipaleseng [Balfour],Mpumalanga,2000,LGE2000_boundary
MP307,Govan Mbeki [Highveld Ridge],Mpumalanga,2000,LGE2000_boundary
MP311,Delmas [Delmas],Mpumalanga,2000,LGE2000_boundary
MP312,Emalahleni [Witbank],Mpumalanga,2000,LGE2000_boundary
MP313,Steve Tshwete [Middelburg],Mpumalanga,2000,LGE2000_boundary
MP314,Highlands [Belfast],Mpumalanga,2000,LGE2000_boundary
MP315,Thembisile [KwaMhlanga],Mpumalanga,2000,LGE2000_boundary
MP316,Dr JS Moroka [Mdutjana],Mpumalanga,2000,LGE2000_boundary
MP321,Thaba Chweu [Sabie],Mpumalanga,2000,LGE2000_boundary
MP322,Mbombela [Nelspruit],Mpumalanga,2000,LGE2000_boundary
MP323,Umjindi [Barberton],Mpumalanga,2000,LGE2000_boundary
MP324,Nkomazi [Nkomazi],Mpumalanga,2000,LGE2000_boundary
MP325,Bushbuckridge [Bushbuckridge],Mpumalanga,2000,LGE2000_boundary
MPDMA32,Kruger Park,Mpumalanga,2000,LGE2000_boundary
NW371,Moretele [Temba],North West,2000,LGE2000_boundary
NW372,Madibeng [Brits],North West,2000,LGE2000_boundary
NW373,Rustenburg [Rustenburg],North West,2000,LGE2000_boundary
NW374,Kgetlengrivier [Koster],North West,2000,LGE2000_boundary
NW375,Moses Kotane [Mogwase],North West,2000,LGE2000_boundary
NW381,Ratlou [Setlagole],North West,2000,LGE2000_boundary
NW382,Tswaing [Delareyville],North West,2000,LGE2000_boundary
NW383,Mafikeng [Mafikeng],North West,2000,LGE2000_boundary
NW384,Ditsobotla [Lichtenburg],North West,2000,LGE2000_boundary
NW385,Ramotshere Moiloa [Zeerust],North West,2000,LGE2000_boundary
NW391,Kagisano [Ganyesa],North West,2000,LGE2000_boundary
NW392,Naledi [Vryburg],North West,2000,LGE2000_boundary
NW393,Mamusa [Schweizer-Reneke],North West,2000,LGE2000_boundary
NW394,Greater Taung [Reivilo],North West,2000,LGE2000_boundary
NW395,Molopo [Pomfret],North West,2000,LGE2000_boundary
NW396,Lekwa-Teemane [Christiana],North West,2000,LGE2000_boundary
NW401,Ventersdorp [Ventersdorp],North West,2000,LGE2000_boundary
NW402,Potchefstroom [Potchefstroom],North West,2000,LGE2000_boundary
NW403,Matlosana [Klerksdorp],North West,2000,LGE2000_boundary
NW404,Maquassi Hills [Wolmaransstad],North West,2000,LGE2000_boundary
NW405,Merafong City [Carletonville],North West,2000,LGE2000_boundary
NC061,RICHTERSVELD [Port Nolloth],Northern Cape,2000,LGE2000_boundary
NC062,NAMA KHOI [Springbok],Northern Cape,2000,LGE2000_boundary
NC064,KAMIESBERG [Garies],Northern Cape,2000,LGE2000_boundary
NC065,HANTAM [Calvinia],Northern Cape,2000,LGE2000_boundary
NC066,KAROO HOOGLAND [Fraserburg],Northern Cape,2000,LGE2000_boundary
NC067,KHâI-MA [Pofadder],Northern Cape,2000,LGE2000_boundary
NC071,UBUNTU [Victoria West],Northern Cape,2000,LGE2000_boundary
NC072,UMSOBOMVU [Colesberg],Northern Cape,2000,LGE2000_boundary
NC073,EMTHANJENI [De Aar],Northern Cape,2000,LGE2000_boundary
NC074,KAREEBERG [Carnarvon],Northern Cape,2000,LGE2000_boundary
NC075,RENOSTERBERG [Phillipstown],Northern Cape,2000,LGE2000_boundary
NC076,THEMBELIHLE [Hopetown],Northern Cape,2000,LGE2000_boundary
NC077,SIYATHEMBA [Prieska],Northern Cape,2000,LGE2000_boundary
NC078,SIYANCUMA [Griekwastad],Northern Cape,2000,LGE2000_boundary
NC081,MIER [Mier],Northern Cape,2000,LGE2000_boundary
NC082,KAI !GARIB [Keimoes],Northern Cape,2000,LGE2000_boundary
NC083,KHARA HAIS [Upington],Northern Cape,2000,LGE2000_boundary
NC084,!KHEIS [Groblershoop],Northern Cape,2000,LGE2000_boundary
NC085,TSANTSABANE [Postmasburg],Northern Cape,2000,LGE2000_boundary
NC086,KGATELOPELE [Danielskuil],Northern Cape,2000,LGE2000_boundary
NC091,Sol Plaatje [Kimberley],Northern Cape,2000,LGE2000_boundary
NC092,Dikgatlong [Barkley West],Northern Cape,2000,LGE2000_boundary
NC093,Magareng [Warrenton],Northern Cape,2000,LGE2000_boundary
NC094,Phokwane [Hartswater],Northern Cape,2000,LGE2000_boundary
NC451,MOSHAWENG [Kgalagadi],Northern Cape,2000,LGE2000_boundary
NC452,GA-SEGONYANA [Kuruman],Northern Cape,2000,LGE2000_boundary
NC453,GAMAGARA [Kathu],Northern Cape,2000,LGE2000_boundary
NCDMA06,Namaqualand,Northern Cape,2000,LGE2000_boundary
NCDMA07,Bo Karoo,Northern Cape,2000,LGE2000_boundary
NCDMA08,Benede,Northern Cape,2000,LGE2000_boundary
NCDMA09,Diamondfields,Northern Cape,2000,LGE2000_boundary
NCDMA45,Kalahari CBDC,Northern Cape,2000,LGE2000_boundary
,NP03a5 - Greater Groblersdal [Groblersdal],Northern Province,2000,LGE2000_boundary
,NP03a4 - Greater Marble Hall [Marble Hall],Northern Province,2000,LGE2000_boundary
,NP03A2 - Makhuduthamaga [Ngwaritsi],Northern Province,2000,LGE2000_boundary
,NP03a6 - Greater Tubatse [Burgersfort/Ohrigstad/Eastern Tubatse],Northern Province,2000,LGE2000_boundary
,NP03A3 - Fetakgomo [Fetakgomo ],Northern Province,2000,LGE2000_boundary
,NPDMA33,Northern Province,2000,LGE2000_boundary
NP331,Greater Giyani [Giyani],Northern Province,2000,LGE2000_boundary
NP332,Greater Letaba [Duiwelskloof],Northern Province,2000,LGE2000_boundary
NP333,Greater Tzaneen [Tzaneen],Northern Province,2000,LGE2000_boundary
NP334,Ba-Phalaborwa [Phalaborwa],Northern Province,2000,LGE2000_boundary
NP335,Maruleng [Hoedspruit],Northern Province,2000,LGE2000_boundary
NP341,Musina [Messina],Northern Province,2000,LGE2000_boundary
NP342,Mutale [Mutale-Masisi],Northern Province,2000,LGE2000_boundary
NP343,Thulamela [Thohoyandou],Northern Province,2000,LGE2000_boundary
NP344,Makhado [Louis Trichardt],Northern Province,2000,LGE2000_boundary
NP351,Blouberg [Bochum/My Darling],Northern Province,2000,LGE2000_boundary
NP352,Aganang [Moletji/Matlala],Northern Province,2000,LGE2000_boundary
NP353,Molemole [Dendron/Dikgale],Northern Province,2000,LGE2000_boundary
NP354,Polokwane [Pietersburg],Northern Province,2000,LGE2000_boundary
NP355,Lepele-Nkumpi [Lebowakgomo],Northern Province,2000,LGE2000_boundary
NP361,Thabazimbi [Thabazimbi],Northern Province,2000,LGE2000_boundary
NP362,Lephalale [Ellisras],Northern Province,2000,LGE2000_boundary
NP364,Mookgopong [Naboomspruit],Northern Province,2000,LGE2000_boundary
NP365,Modimolle [Nylstroom],Northern Province,2000,LGE2000_boundary
NP366,Bela-Bela [Warmbad],Northern Province,2000,LGE2000_boundary
NP367,Mogalakwena [Potgietersrus],Northern Province,2000,LGE2000_boundary
,WESTERN CAPE024 - Stellenbosch [Stellenbosch],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE023 - Drakenstein [Paarl],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE032 - Overstrand [Greater Hermanus],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE031 - Theewaterskloof [Caledon],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE025 - Breede Valley [Worcester],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE033 - Cape Agulhas [Bredasdorp],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE034 - Swellendam [Barrydale/Swellendam ],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE026 - Breede River/Winelands [Robertson],Western Cape,2000,LGE2000_boundary
,WESTERN CAPEDMA03 [Overberg DC],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE042 - Hessequa [Heidelberg/Riversdale],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE041 - Kannaland [Ladismith],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE043 - Mossel Bay [Mossel Bay],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE045 - Oudtshoorn [Oudtshoorn],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE044 - George [George],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE048 - Knysna [Knysna],Western Cape,2000,LGE2000_boundary
,WESTERN CAPEDMA04 [South Cape DC],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE047 - Bitou [Greater Plettenberg Bay],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE014 - Saldanha Bay [West Coast Peninsula],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE015 - Swartland [Malmesbury],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE013 - Bergrivier [Velddrif],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE011 - Matzikama [Vredendal],Western Cape,2000,LGE2000_boundary
,WESTERN CAPEDMA01 [West Coast DC],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE022 - Witzenberg [Ceres],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE012 - Cederberg [Citrusdal],Western Cape,2000,LGE2000_boundary
,WESTERN CAPEDMA02 [Brede River DC],Western Cape,2000,LGE2000_boundary
,WESTERN CAPE051,Western Cape,2000,LGE2000_boundary
,WESTERN CAPE052,Western Cape,2000,LGE2000_boundary
,WESTERN CAPE053 - Beaufort West [Beaufort West],Western Cape,2000,LGE2000_boundary
,WESTERN CAPEDMA05 [Central Karoo DC],Western Cape,2000,LGE2000_boundary
CPT,City of Cape Town [Cape Town],Western Cape,2000,LGE2000_boundary
EC05b2,Umzimvubu,EASTERN CAPE,2006,LGE2006_boundary
EC05b3,Matatiele,EASTERN CAPE,2006,LGE2006_boundary
EC125,Buffalo City,EASTERN CAPE,2006,LGE2006_boundary
EC151,Mbizana,EASTERN CAPE,2006,LGE2006_boundary
EC152,Ntabankulu,EASTERN CAPE,2006,LGE2006_boundary
ECDMA10,,EASTERN CAPE,2006,LGE2006_boundary
ECDMA13,,EASTERN CAPE,2006,LGE2006_boundary
EC101,Camdeboo,Eastern Cape,2006,LGE2006_boundary
EC102,Blue Crane Route,Eastern Cape,2006,LGE2006_boundary
EC103,Ikwezi,Eastern Cape,2006,LGE2006_boundary
EC104,Makana,Eastern Cape,2006,LGE2006_boundary
EC105,Ndlambe,Eastern Cape,2006,LGE2006_boundary
EC106,Sunday's River Valley,Eastern Cape,2006,LGE2006_boundary
EC107,Baviaans,Eastern Cape,2006,LGE2006_boundary
EC108,Kouga,Eastern Cape,2006,LGE2006_boundary
EC109,Kou-Kamma,Eastern Cape,2006,LGE2006_boundary
EC121,Mbhashe,Eastern Cape,2006,LGE2006_boundary
EC122,Mnquma,Eastern Cape,2006,LGE2006_boundary
EC123,Great Kei,Eastern Cape,2006,LGE2006_boundary
EC124,Amahlathi,Eastern Cape,2006,LGE2006_boundary
EC126,Ngqushwa,Eastern Cape,2006,LGE2006_boundary
EC127,Nkonkobe,Eastern Cape,2006,LGE2006_boundary
EC128,Nxuba,Eastern Cape,2006,LGE2006_boundary
EC131,Inxuba Yethemba,Eastern Cape,2006,LGE2006_boundary
EC132,Tsolwana,Eastern Cape,2006,LGE2006_boundary
EC133,Inkwanca,Eastern Cape,2006,LGE2006_boundary
EC134,Lukanji,Eastern Cape,2006,LGE2006_boundary
EC135,Intsika Yethu,Eastern Cape,2006,LGE2006_boundary
EC136,Emalahleni,Eastern Cape,2006,LGE2006_boundary
EC137,Engcobo,Eastern Cape,2006,LGE2006_boundary
EC138,Sakhisizwe,Eastern Cape,2006,LGE2006_boundary
EC141,Elundini,Eastern Cape,2006,LGE2006_boundary
EC142,Senqu,Eastern Cape,2006,LGE2006_boundary
EC143,Maletswai,Eastern Cape,2006,LGE2006_boundary
EC144,Gariep,Eastern Cape,2006,LGE2006_boundary
EC153,Qaukeni,Eastern Cape,2006,LGE2006_boundary
EC154,Port St Johns,Eastern Cape,2006,LGE2006_boundary
EC155,Nyandeni,Eastern Cape,2006,LGE2006_boundary
EC156,Mhlontlo,Eastern Cape,2006,LGE2006_boundary
EC157,King Sabata Dalindyebo,Eastern Cape,2006,LGE2006_boundary
NMA,Nelson Mandela,Eastern Cape,2006,LGE2006_boundary
FS171,Naledi,FREE STATE,2006,LGE2006_boundary
FS172,Mangaung,FREE STATE,2006,LGE2006_boundary
FS173,Mantsopa,FREE STATE,2006,LGE2006_boundary
FSDMA19,,FREE STATE,2006,LGE2006_boundary
FS161,Letsemeng,Free State,2006,LGE2006_boundary
FS162,Kopanong,Free State,2006,LGE2006_boundary
FS163,Mohokare,Free State,2006,LGE2006_boundary
FS181,Masilonyana,Free State,2006,LGE2006_boundary
FS182,Tokologo,Free State,2006,LGE2006_boundary
FS183,Tswelopele,Free State,2006,LGE2006_boundary
FS184,Matjhabeng,Free State,2006,LGE2006_boundary
FS185,Nala,Free State,2006,LGE2006_boundary
FS191,Setsoto,Free State,2006,LGE2006_boundary
FS192,Dihlabeng,Free State,2006,LGE2006_boundary
FS193,Nketoana,Free State,2006,LGE2006_boundary
FS194,Maluti a Phofung,Free State,2006,LGE2006_boundary
FS195,Phumelela,Free State,2006,LGE2006_boundary
FS201,Moqhaka,Free State,2006,LGE2006_boundary
FS203,Ngwathe,Free State,2006,LGE2006_boundary
FS204,Metsimaholo,Free State,2006,LGE2006_boundary
FS205,Mafube,Free State,2006,LGE2006_boundary
GT02b1,Nokeng tsa Taemane,GAUTENG,2006,LGE2006_boundary
GT02b2,Kungwini,GAUTENG,2006,LGE2006_boundary
GTDMA48,West Rand,GAUTENG,2006,LGE2006_boundary
EKU,Ekurhuleni Metropolitan,Gauteng,2006,LGE2006_boundary
GT421,Emfuleni,Gauteng,2006,LGE2006_boundary
GT422,Midvaal,Gauteng,2006,LGE2006_boundary
GT423,Lesedi,Gauteng,2006,LGE2006_boundary
GT481,Mogale City,Gauteng,2006,LGE2006_boundary
GT482,Randfontein,Gauteng,2006,LGE2006_boundary
GT483,Westonaria,Gauteng,2006,LGE2006_boundary
JHB,City of Johannesburg,Gauteng,2006,LGE2006_boundary
TSH,City of Tshwane,Gauteng,2006,LGE2006_boundary
KZ211,Vulamehlo,KWAZULU NATAL,2006,LGE2006_boundary
KZ212,Umdoni,KWAZULU NATAL,2006,LGE2006_boundary
KZ213,Umzumbe,KWAZULU NATAL,2006,LGE2006_boundary
KZ214,UMuziwabantu,KWAZULU NATAL,2006,LGE2006_boundary
KZ215,Ezingoleni,KWAZULU NATAL,2006,LGE2006_boundary
KZ216,Hibiscus Coast,KWAZULU NATAL,2006,LGE2006_boundary
KZ221,uMshwathi,KWAZULU NATAL,2006,LGE2006_boundary
KZ222,uMngeni,KWAZULU NATAL,2006,LGE2006_boundary
KZ223,Mooi Mpofana,KWAZULU NATAL,2006,LGE2006_boundary
KZ224,KZ224,KWAZULU NATAL,2006,LGE2006_boundary
KZ225,The Msunduzi,KWAZULU NATAL,2006,LGE2006_boundary
KZ226,Mkhambathini,KWAZULU NATAL,2006,LGE2006_boundary
KZ227,Richmond,KWAZULU NATAL,2006,LGE2006_boundary
KZ232,Emnambithi/Ladysmith,KWAZULU NATAL,2006,LGE2006_boundary
KZ233,Indaka,KWAZULU NATAL,2006,LGE2006_boundary
KZ234,Umtshezi,KWAZULU NATAL,2006,LGE2006_boundary
KZ235,Okhahlamba  (KZ235),KWAZULU NATAL,2006,LGE2006_boundary
KZ236,Imbabazane  (KZ236),KWAZULU NATAL,2006,LGE2006_boundary
KZ241,Endumeni,KWAZULU NATAL,2006,LGE2006_boundary
KZ242,KZ242,KWAZULU NATAL,2006,LGE2006_boundary
KZ244,Msinga,KWAZULU NATAL,2006,LGE2006_boundary
KZ245,Umvoti,KWAZULU NATAL,2006,LGE2006_boundary
KZ252,Newcastle,KWAZULU NATAL,2006,LGE2006_boundary
KZ253,Utrecht,KWAZULU NATAL,2006,LGE2006_boundary
KZ254,Dannhauser  (KZ254),KWAZULU NATAL,2006,LGE2006_boundary
KZ261,eDumbe,KWAZULU NATAL,2006,LGE2006_boundary
KZ262,UPhongolo,KWAZULU NATAL,2006,LGE2006_boundary
KZ263,Abaqulusi,KWAZULU NATAL,2006,LGE2006_boundary
KZ265,Nongoma  (KZ265),KWAZULU NATAL,2006,LGE2006_boundary
KZ266,Ulundi,KWAZULU NATAL,2006,LGE2006_boundary
